** Patch Checker Results **
"Computer Name","Most Recent Patch","Installed On","Compliant? (Installed in Last 180 Days?)"
"PCNEES01","KB4536952","9/1/2020","True"
"PCNRES01","KB4536952","9/1/2020","True"
"PCNRDP01","KB4575903","9/2/2020","True"

** Service (AV) Checker Results **
"Computer Name","AV Service Name","DisplayName","Status"
"PCNEES01","SepMasterService","Symantec Endpoint Protection","Running"
"PCNRES01","SepMasterService","Symantec Endpoint Protection","Running"
"PCNRDP01","SepMasterService","Symantec Endpoint Protection","Running"
